,time,magnitude
574,1459.0,17888
575,1469.0,1570
576,1470.0,1507
577,1472.0,307
578,1473.0,30825
579,1474.0,627
580,1475.0,405
581,1480.0,699
582,1480.0,1588
583,1486.0,150
584,1495.0,883
585,1497.0,1848
586,1501.0,198
587,1503.0,1658
588,1512.0,1535
589,1516.0,517
590,1520.0,1694
591,1521.0,589
592,1526.0,1175
593,1527.0,79
594,1533.0,112
595,1540.0,17412
596,1540.0,455
597,1542.0,2827
598,1544.0,155
599,1547.0,102
600,1548.0,18243
601,1549.0,2026
602,1551.0,200
603,1552.0,4668
604,1553.0,7366
605,1553.0,3415
606,1555.0,1500
607,1556.0,133
608,1557.0,1122
609,1573.0,27
610,1573.0,130
611,1577.0,1708
612,1578.0,3528
613,1578.0,50
614,1587.0,672
615,1588.0,6089
616,1593.0,46
617,1597.0,157
618,1598.0,176
619,1608.0,492
620,1625.0,813
621,1627.0,294
622,1628.0,1287
623,1628.0,93
624,1630.0,878
625,1633.0,157
626,1635.0,532
627,1635.0,672
628,1651.0,197
629,1655.0,1097
630,1656.0,150
631,1657.0,112
632,1659.0,129
633,1669.0,76
634,1670.0,726
635,1672.0,894
636,1673.0,3172
637,1678.0,132
638,1688.0,228
639,1700.0,4002
640,1705.0,11702
641,1706.0,4630
642,1706.0,228
643,1711.0,1598
644,1713.0,13633
645,1726.0,23
646,1727.0,682
647,1727.0,2748
648,1729.0,1862
649,1733.0,137
650,1734.0,158
651,1735.0,299
652,1735.0,279
653,1739.0,1080
654,1742.0,444
655,1745.0,136
656,1754.0,47
657,1756.0,474
658,1756.0,390
659,1756.0,1552
660,1759.0,408
661,1763.0,1712
662,1773.0,3417
663,1778.0,7061
664,1779.0,66
665,1783.0,731
666,1790.0,112
667,1791.0,383
668,1793.0,12
669,1793.0,229
670,1796.0,593
671,1802.0,187
672,1803.0,632
673,1808.0,2859
674,1811.0,3387
675,1816.0,1102
676,1824.0,288
677,1825.0,20
678,1828.0,1340
679,1829.0,5313
680,1837.0,46
681,1838.0,822
682,1840.0,468
683,1846.0,13602
684,1847.0,2141
685,1856.0,499
686,1857.0,2795
687,1864.0,196
688,1865.0,698
689,1865.0,4321
690,1867.0,40
691,1869.0,3412
692,1869.0,6616
693,1871.0,10
694,1879.0,5604
695,1882.0,595
696,1885.0,1788
697,1887.0,1715
698,1897.0,3059
699,1905.0,1381
700,1905.0,603
701,1907.0,833
702,1910.0,25
703,1910.0,5655
704,1912.0,234
705,1913.0,4094
706,1918.0,210
707,1919.0,6318
708,1922.0,450
709,1924.0,98
710,1924.0,1940
711,1927.0,1167
712,1938.0,18
713,1939.0,734
714,1939.0,3217
715,1950.0,71
716,1958.0,4459
717,1961.0,4171
718,1962.0,2199
719,1963.0,96
720,1963.0,10579
721,1967.0,2766
722,1972.0,172
723,1974.0,2094
724,1976.0,966
725,1984.0,7524
726,1985.0,14135
727,1992.0,1453
728,2000.0,3455
729,2000.0,14
730,2001.0,359
731,2004.0,229
732,2005.0,70
733,2005.0,520
734,2006.0,493
735,2017.0,22
736,2027.0,263
737,2028.0,52
738,2031.0,76
739,2033.0,25644
740,2036.0,1502
741,2040.0,326
742,2043.0,202
743,2043.0,1454
744,2046.0,711
745,2050.0,2671
746,2060.0,770
747,2075.0,86
748,2084.0,286
749,2086.0,2611
750,2086.0,2261
751,2092.0,422
752,2093.0,1462
753,2099.0,428
754,2101.0,1640
755,2105.0,54
756,2108.0,74
757,2118.0,1434
758,2123.0,2620
759,2123.0,2845
760,2125.0,3319
761,2126.0,2958
762,2134.0,63
763,2143.0,1280
764,2148.0,141
765,2154.0,7235
766,2156.0,4135
767,2160.0,198
768,2166.0,1986
769,2168.0,626
770,2177.0,2264
771,2177.0,543
772,2183.0,126
773,2184.0,2250
774,2187.0,4679
775,2192.0,535
776,2192.0,298
777,2198.0,126
778,2217.0,3316
779,2227.0,16824
780,2228.0,908
781,2230.0,1242
782,2233.0,445
783,2237.0,3746
784,2238.0,111
785,2243.0,522
786,2243.0,321
787,2246.0,830
788,2258.0,666
789,2259.0,293
790,2264.0,3199
791,2267.0,2905
792,2272.0,1818
793,2279.0,4418
794,2283.0,1160
795,2284.0,2372
796,2285.0,7600
797,2287.0,2419
798,2291.0,395
799,2294.0,3619
800,2298.0,178
801,2299.0,1666
802,2303.0,3428
803,2309.0,1030
804,2310.0,7688
805,2325.0,389
806,2327.0,376
807,2331.0,651
808,2341.0,2368
809,2341.0,727
810,2343.0,2465
811,2344.0,270
812,2345.0,84
813,2348.0,2112
814,2349.0,2129
815,2353.0,5052
816,2360.0,94
817,2365.0,295
818,2366.0,47
819,2366.0,1852
820,2367.0,614
821,2371.0,183
822,2376.0,178
823,2377.0,989
824,2377.0,18
825,2381.0,18
826,2384.0,665
827,2387.0,326
828,2389.0,317
829,2389.0,751
830,2391.0,491
831,2392.0,4170
832,2394.0,34
833,2397.0,556
834,2400.0,112
835,2409.0,4699
836,2410.0,1904
837,2410.0,519
838,2411.0,131
839,2424.0,4268
840,2430.0,1112
841,2433.0,5437
842,2435.0,2106
843,2436.0,11809
844,2438.0,24
845,2440.0,70
846,2441.0,2320
847,2444.0,3805
848,2445.0,2803
849,2445.0,1323
850,2446.0,138
851,2452.0,292
852,2454.0,67
853,2461.0,2106
854,2461.0,5069
855,2479.0,224
856,2482.0,163
857,2491.0,505
858,2492.0,5273
859,2505.0,197
860,2509.0,14493
861,2522.0,302
862,2532.0,6246
863,2538.0,24223
864,2538.0,2866
865,2548.0,2903
866,2559.0,20
867,2561.0,1464
868,2562.0,536
869,2563.0,647
870,2566.0,438
